"term","HR"
"SexM","1.32 (1.23 - 1.43)"
"age_gp16-75","2.8 (2.06 - 3.81)"
"age_gp75+","8.9 (6.48 - 12.21)"
"ur6_2016_nameOther Urban Areas","1.02 (0.93 - 1.12)"
"ur6_2016_nameAccessible Small Towns","1.02 (0.88 - 1.18)"
"ur6_2016_nameRemote Small Towns","0.91 (0.76 - 1.09)"
"ur6_2016_nameAccessible Rural","1 (0.87 - 1.17)"
"ur6_2016_nameRemote Rural","0.72 (0.59 - 0.89)"
"simd2020_sc_quintile2","0.85 (0.76 - 0.95)"
"simd2020_sc_quintile3","0.85 (0.75 - 0.95)"
"simd2020_sc_quintile4","0.75 (0.66 - 0.85)"
"simd2020_sc_quintile5","0.6 (0.53 - 0.69)"
"n_risk_gps1","2.62 (2.32 - 2.96)"
"n_risk_gps2","4.31 (3.77 - 4.93)"
"n_risk_gps3-4","5.79 (5.03 - 6.67)"
"n_risk_gps5+","6.7 (5.53 - 8.12)"
"last_positive_test_group0-13_weeks","0.09 (0.07 - 0.12)"
"last_positive_test_group14-26_weeks","0.01 (0.01 - 0.02)"
"last_positive_test_group27+_weeks","0.03 (0.01 - 0.05)"
"shielding","1.47 (1.31 - 1.65)"
"num_tests_6m_group1","91.91 (68.81 - 122.77)"
"num_tests_6m_group2","163.59 (121.78 - 219.76)"
"num_tests_6m_group3","245.83 (181.54 - 332.9)"
"num_tests_6m_group4-9","358.62 (267.44 - 480.88)"
"num_tests_6m_group10+","280.75 (204.72 - 385.02)"
"vaccine_deficit1","1.74 (1.57 - 1.92)"
"vaccine_deficit2","2.82 (2.36 - 3.37)"
"vaccine_deficit3","2.35 (1.98 - 2.79)"
"vaccine_deficit4","4.37 (3.3 - 5.79)"
