"Variable","Levels","Person years (thousands)","Persons","Number of events","Hazard rate"
"Sex","F",102.446732375086,346969,32,"Ref"
"","M",107.845475701574,364017,39,"0.8 (0.46, 1.38)"
"Age group","5-11",129.63192881588,435379,54,"Ref"
"","12-15",80.6602792607803,275607,17,"0.93 (0.47, 1.83)"
"Urban rural classification","Large Urban Areas",70.8932594113621,237751,26,"Ref"
"","Other Urban Areas",79.1867597535934,267989,22,"0.39 (0.2, 0.77)"
"","Accessible Small Towns",19.8110061601643,68314,4,"0.34 (0.11, 1.02)"
"","Remote Small Towns",9.60898562628337,32190,7,"1.31 (0.48, 3.58)"
"","Accessible Rural",19.4433730321697,66562,9,"0.51 (0.23, 1.16)"
"","Remote Rural",9.5640848733744,32363,2,"14.15 (2.36, 84.77)"
"Socioeconomic status","1",48.201607118412,155103,18,"Ref"
"","2",41.5442299794661,137232,13,"0.73 (0.33, 1.63)"
"","3",37.1957563312799,125758,14,"0.79 (0.34, 1.84)"
"","4",41.4593100616016,143419,15,"1.97 (0.86, 4.47)"
"","5",40.1065653661875,143657,10,"0.91 (0.4, 2.09)"
"Number of risk groups","0",193.355367556468,653771,54,"Ref"
"","1",16.0637180013689,54329,13,"0.66 (0.32, 1.34)"
"","2",0.826412046543463,2727,4,"0.93 (0.27, 3.24)"
"","3-4",0.0463791923340178,158,0,"0 (0, Inf)"
"","5+",0.000331279945242984,1,0,"5.36 (0, Inf)"
"Last positive test",NA,151.797971252567,506183,70,NA
"","0-13_weeks",6.35676386036961,22270,0,"0 (0, 4,633,115,650,366,072,653,024,017,250,611,195,291,207,619,696,699,073,762,337,888,956,231,712,768)"
"","14-26_weeks",21.2732648870637,74922,0,"0 (0, 307,052,932,776,612,380,223,373,615,635,698,757,283,928,618,986,991,779,840)"
"","27+_weeks",30.8642080766598,107611,1,"0.01 (0, 0.06)"
"Ever shielding","0",210.291214236824,710982,71,"Ref"
"","1",0.000993839835728953,4,0,NA
"Number of tests in last 6 months","0",140.039255304586,467682,0,"Ref"
"","1",50.947704312115,175981,29,"6,535.05 (0, 1,171,751,493,773,355,997,200,384)"
"","2",14.2708720054757,49724,17,"7,012.65 (0, 1,259,067,404,449,945,248,333,824)"
"","3",3.54293223819302,12450,6,"4,630.95 (0, 836,603,372,092,460,118,310,912)"
"","4-9",1.41714168377823,4901,13,"6,028.92 (0, 1,081,804,208,718,316,889,440,256)"
"","10+",0.0743025325119781,248,6,"2,902.4 (0, 523,455,132,749,541,486,362,624)"
"Previous COVID-19 hospitalisation","0",210.115865845311,710346,0,"Ref"
"","1",0.176342231348392,640,71,NA
"Number of doses","0",153.348407939767,477664,62,"Ref"
"","1",27.2802847364819,121623,5,"0.97 (0.32, 2.93)"
"","2",29.1426721423682,109858,3,"0.71 (0.19, 2.69)"
"","3",0.499214236824093,1754,1,"24.31 (1.89, 313.15)"
"","4",0.0211635865845311,83,0,"0.23 (0, Inf)"
"","5",0.000465434633812457,4,0,"7.02 (0, Inf)"
