"Variable","Levels","Person years (thousands)","Persons","Number of events","Hazard rate"
"Sex","F",115.783058310746,491872,868,"Ref"
"","M",88.4199727611225,371312,925,"1.14 (1.03, 1.25)"
"Urban rural classification","Large Urban Areas",57.4145161505818,242055,524,"Ref"
"","Other Urban Areas",75.6419686297056,323803,715,"1.2 (1.07, 1.35)"
"","Accessible Small Towns",21.8991074934976,94700,193,"1.18 (1, 1.4)"
"","Remote Small Towns",13.1392361560575,55873,97,"1.13 (0.9, 1.41)"
"","Accessible Rural",21.2473128213552,86204,163,"1.19 (0.99, 1.42)"
"","Remote Rural",13.332027394935,54845,90,"1.02 (0.81, 1.28)"
"Socioeconomic status","1",31.5781547652293,133875,405,"Ref"
"","2",39.2636003449692,166760,376,"0.81 (0.7, 0.94)"
"","3",43.7103025708419,182535,403,"0.99 (0.86, 1.14)"
"","4",43.9466393292266,184683,311,"0.85 (0.73, 1)"
"","5",44.1754716358659,189627,287,"0.86 (0.73, 1)"
"Number of risk groups","0",63.2096838083504,245362,181,"Ref"
"","1",56.6250349705681,244849,361,"1.17 (0.98, 1.4)"
"","2",42.7925531225188,188225,433,"1.13 (0.95, 1.35)"
"","3-4",35.1969282135524,156169,624,"1.29 (1.08, 1.53)"
"","5+",6.37883095687885,28579,194,"1.32 (1.07, 1.63)"
"Last positive test",NA,186.196063167693,780420,1744,NA
"","0-13_weeks",4.46110887063655,21279,33,"0.01 (0.01, 0.02)"
"","14-26_weeks",5.24538536892539,24099,11,"0.01 (0, 0.01)"
"","27+_weeks",8.30047366461328,37386,5,"0 (0, 0)"
"Ever shielding","0",188.671203548255,796579,1542,"Ref"
"","1",15.531827523614,66605,251,NA
"Number of tests in last 6 months","0",149.219211540041,616192,46,"Ref"
"","1",28.3630774017796,123158,535,"36.33 (26.72, 49.4)"
"","2",9.94068175770021,44128,322,"40.14 (29.19, 55.19)"
"","3",5.0199480219028,23009,224,"46.53 (33.51, 64.59)"
"","4-9",9.06939637508556,43886,516,"40.43 (29.48, 55.45)"
"","10+",2.59071597535934,12811,150,"34.31 (24.3, 48.44)"
"Previous COVID-19 hospitalisation","0",201.644044030116,850886,511,"Ref"
"","1",2.55898704175222,12298,1282,NA
"Number of doses","0",21.343854899384,64663,69,"Ref"
"","1",0.51743189596167,1664,13,"1.47 (0.81, 2.66)"
"","2",3.18638740588638,10269,83,"1.13 (0.82, 1.55)"
"","3",38.3113895550993,137052,486,"1.05 (0.81, 1.36)"
"","4",134.048449177276,454284,1098,"0.87 (0.68, 1.12)"
"","5",6.79551813826146,195252,44,"0.95 (0.64, 1.41)"
