"(Intercept)","SexM","ur6_2016_nameOther Urban Areas","ur6_2016_nameAccessible Small Towns","ur6_2016_nameRemote Small Towns","ur6_2016_nameAccessible Rural","ur6_2016_nameRemote Rural","simd2020_sc_quintile2","simd2020_sc_quintile3","simd2020_sc_quintile4","simd2020_sc_quintile5","n_risk_gps1","n_risk_gps2","n_risk_gps3-4","n_risk_gps5+"
6.80370781177134e-05,-1.04916288166641e-05,-2.15625790077456e-05,-1.71004087112545e-05,-1.79505995633803e-05,-1.71086458790586e-05,-1.42390060719166e-05,-3.70607849652012e-05,-3.62025306993104e-05,-3.82634076203851e-05,-4.29791124286087e-05,-1.72371414013564e-05,-1.83400700418298e-05,-1.96556868583923e-05,-2.13264491297676e-05
-1.04916288166641e-05,2.68786823960987e-05,-5.28285345458486e-07,-6.70595701379572e-07,-6.77323980089606e-07,-7.42275959161303e-07,-9.64966813114032e-07,-1.65568508355787e-07,-6.09137976654286e-07,-7.6418185215273e-07,-8.97493712543859e-07,-3.58236098512813e-07,-6.36428107452692e-07,-8.20423504079869e-07,-6.64575805507055e-07
-2.15625790077456e-05,-5.28285345458486e-07,4.20175031551216e-05,2.41520491724635e-05,2.56427141477448e-05,2.43204119762426e-05,2.58284423058435e-05,-4.17364984526521e-06,-5.37970299544633e-06,-3.29098152595213e-06,3.4503491531448e-06,-4.91994417159508e-07,-6.56989518662143e-07,-4.00615517595056e-07,1.82210575733911e-07
-1.71004087112545e-05,-6.70595701379572e-07,2.41520491724635e-05,8.8082753615577e-05,2.61713497560322e-05,2.55371347162432e-05,2.72188928870374e-05,-6.8988940495304e-06,-1.08599691332577e-05,-1.0947032868011e-05,-4.1014593076568e-06,-9.71850681751931e-08,-2.87036052078874e-07,-7.6478549020972e-08,1.4903066466982e-07
-1.79505995633803e-05,-6.77323980089606e-07,2.56427141477448e-05,2.61713497560322e-05,0.000131158610128205,2.68080891533813e-05,3.05664385468107e-05,-6.61736142047894e-06,-1.8076228441805e-05,-9.5287739238881e-06,1.20621142653493e-06,-4.32763116146086e-07,-7.45114637789607e-07,-6.69371760349379e-07,-1.32279716583959e-07
-1.71086458790586e-05,-7.42275959161303e-07,2.43204119762426e-05,2.55371347162432e-05,2.68080891533813e-05,9.07305052663317e-05,2.80459745853899e-05,-6.81646702818713e-06,-1.27204558915956e-05,-1.26140722933114e-05,-4.37286154628785e-06,6.25557200073674e-07,7.63293586330933e-07,1.0712031832806e-06,1.53077201679926e-06
-1.42390060719166e-05,-9.64966813114032e-07,2.58284423058435e-05,2.72188928870374e-05,3.05664385468107e-05,2.80459745853899e-05,0.000135021657257727,-7.24342890096236e-06,-2.12769818563138e-05,-1.7293101509227e-05,-1.9169799568675e-06,-1.75282138914457e-06,-2.26397163963852e-06,-2.70559564158364e-06,-3.05610052224995e-06
-3.70607849652012e-05,-1.65568508355787e-07,-4.17364984526521e-06,-6.8988940495304e-06,-6.61736142047894e-06,-6.81646702818713e-06,-7.24342890096236e-06,7.31783468504679e-05,4.14601352006694e-05,4.11849038906121e-05,3.97948627142815e-05,2.21576557652971e-07,1.05294823418895e-06,1.6417361900468e-06,2.36456321300318e-06
-3.62025306993104e-05,-6.09137976654286e-07,-5.37970299544633e-06,-1.08599691332577e-05,-1.8076228441805e-05,-1.27204558915956e-05,-2.12769818563138e-05,4.14601352006694e-05,7.55757272076169e-05,4.40201655667673e-05,4.07027286269852e-05,7.80097397201651e-07,2.1229590244995e-06,3.43724433268803e-06,4.60698028920724e-06
-3.82634076203851e-05,-7.6418185215273e-07,-3.29098152595213e-06,-1.0947032868011e-05,-9.5287739238881e-06,-1.26140722933114e-05,-1.7293101509227e-05,4.11849038906121e-05,4.40201655667673e-05,7.51062361792838e-05,4.13192775606139e-05,1.64711541885083e-06,3.36394602829609e-06,5.02384614221787e-06,6.80883450667014e-06
-4.29791124286087e-05,-8.97493712543859e-07,3.4503491531448e-06,-4.1014593076568e-06,1.20621142653493e-06,-4.37286154628785e-06,-1.9169799568675e-06,3.97948627142815e-05,4.07027286269852e-05,4.13192775606139e-05,7.39327334308533e-05,2.10480768125119e-06,4.19722631149359e-06,6.25611435635853e-06,8.38483593902133e-06
-1.72371414013564e-05,-3.58236098512813e-07,-4.91994417159508e-07,-9.71850681751931e-08,-4.32763116146086e-07,6.25557200073674e-07,-1.75282138914457e-06,2.21576557652971e-07,7.80097397201651e-07,1.64711541885083e-06,2.10480768125119e-06,4.42813218680134e-05,1.67768819120887e-05,1.68678294230557e-05,1.69518802748452e-05
-1.83400700418298e-05,-6.36428107452692e-07,-6.56989518662143e-07,-2.87036052078874e-07,-7.45114637789607e-07,7.63293586330933e-07,-2.26397163963852e-06,1.05294823418895e-06,2.1229590244995e-06,3.36394602829609e-06,4.19722631149359e-06,1.67768819120887e-05,5.41238348172965e-05,1.71166256152424e-05,1.72727652051481e-05
-1.96556868583923e-05,-8.20423504079869e-07,-4.00615517595056e-07,-7.6478549020972e-08,-6.69371760349379e-07,1.0712031832806e-06,-2.70559564158364e-06,1.6417361900468e-06,3.43724433268803e-06,5.02384614221787e-06,6.25611435635853e-06,1.68678294230557e-05,1.71166256152424e-05,6.07640572338773e-05,1.76000907538694e-05
-2.13264491297676e-05,-6.64575805507055e-07,1.82210575733911e-07,1.4903066466982e-07,-1.32279716583959e-07,1.53077201679926e-06,-3.05610052224995e-06,2.36456321300318e-06,4.60698028920724e-06,6.80883450667014e-06,8.38483593902133e-06,1.69518802748452e-05,1.72727652051481e-05,1.76000907538694e-05,0.000231133868214602
