"Variable","Levels","Odds ratio"
"Sex","F","Ref"
"","M","0.91 (0.9, 0.92)"
"Urban rural classification","Large Urban Areas","Ref"
"","Accessible Small Towns","1.16 (1.14, 1.18)"
"","Other Urban Areas","1.12 (1.1, 1.13)"
"","Accessible Rural","1.18 (1.16, 1.2)"
"","Remote Small Towns","1.04 (1.02, 1.06)"
"","Remote Rural","0.99 (0.97, 1.01)"
"Socioeconomic status","2","1.26 (1.24, 1.28)"
"","3","1.43 (1.4, 1.45)"
"","1","Ref"
"","5","1.98 (1.95, 2.01)"
"","4","1.66 (1.63, 1.69)"
"Number of risk groups","5+","4.66 (4.53, 4.8)"
"","2","5.17 (5.1, 5.25)"
"","0","Ref"
"","3-4","5.22 (5.14, 5.3)"
"","1","4.64 (4.58, 4.7)"
