"label","levels","Under-vaccinated","Fully-vaccinated"
"Total","","2510475 (43.3)","3291849 (56.7)"
"Age","Mean (SD)","30.1 (22.3)","53.9 (18.7)"
"Age group","5-15","520291 (90.2)","56513 (9.8)"
NA,"16-75","1362059 (32.5)","2825885 (67.5)"
NA,"75+","232971 (36.3)","409451 (63.7)"
"Urban rural classification","Large Urban Areas","826530 (44.0)","1050767 (56.0)"
NA,"Other Urban Areas","731252 (37.3)","1230330 (62.7)"
NA,"Accessible Small Towns","175698 (34.9)","327815 (65.1)"
NA,"Remote Small Towns","92612 (35.6)","167456 (64.4)"
NA,"Accessible Rural","172223 (35.1)","318821 (64.9)"
NA,"Remote Rural","89563 (33.6)","176971 (66.4)"
"Number of risk groups","0","1704792 (49.4)","1742984 (50.6)"
NA,"1","330263 (25.0)","991153 (75.0)"
NA,"2","77409 (17.6)","361313 (82.4)"
NA,"3-4","37321 (17.7)","173730 (82.3)"
NA,"5+","6880 (23.3)","22669 (76.7)"
"Average household age","Mean (SD)","29.0 (18.4)","47.2 (18.7)"
"Number of people in household","1","549894 (35.9)","979764 (64.1)"
NA,"2","426859 (29.4)","1025442 (70.6)"
NA,"3-5","996051 (45.5)","1193030 (54.5)"
NA,"6-10","143241 (64.9)","77456 (35.1)"
NA,"11-30","16262 (70.7)","6754 (29.3)"
NA,"31-100","16909 (69.9)","7287 (30.1)"
NA,"101+","7450 (77.9)","2116 (22.1)"
"BMI","10-18.5","35326 (52.3)","32263 (47.7)"
NA,"18.5-25","154280 (28.1)","394022 (71.9)"
NA,"25-30","127949 (19.0)","544359 (81.0)"
NA,"30-35","72085 (16.7)","358562 (83.3)"
NA,"35-40","32740 (16.5)","165101 (83.5)"
NA,"40+","21153 (15.8)","112505 (84.2)"
"Smoking status","Non-smoker","564661 (26.5)","1568932 (73.5)"
NA,"Ex-smoker","152048 (22.7)","516362 (77.3)"
NA,"Smoker","347167 (31.8)","746204 (68.2)"
"Blood pressure","Normal","759355 (26.0)","2159975 (74.0)"
NA,"Low","28448 (37.1)","48257 (62.9)"
NA,"High","96843 (20.0)","387336 (80.0)"
NA,"Very high","23420 (23.1)","78094 (76.9)"
"Housing category","Neither","2150650 (39.7)","3271558 (60.3)"
NA,"Care home","5524 (21.6)","20023 (78.4)"
NA,"Homeless","491 (64.7)","268 (35.3)"
"Learning disability/Down's syndrome","Neither","2126586 (39.5)","3250683 (60.5)"
NA,"Down's syndrome","641 (27.6)","1681 (72.4)"
NA,"Learning disability","29439 (42.7)","39485 (57.3)"
"Chronic Kidney Disease","No CKD","2127460 (40.3)","3154284 (59.7)"
NA,"CKD 3","29201 (17.5)","137546 (82.5)"
NA,"CKD 4","4 (21.1)","15 (78.9)"
NA,"CKD 5","0 (0.0)","4 (100.0)"
"Atrial Fibrillation","","20045 (17.5)","94200 (82.5)"
"Asthma","","158966 (29.4)","380912 (70.6)"
"Blood cancer","","3180 (15.5)","17348 (84.5)"
"Congestive Cardiac Failure","","9420 (20.0)","37652 (80.0)"
"Cerebral Palsy","","1767 (25.8)","5079 (74.2)"
"Coronary heart disease","","31331 (16.4)","159272 (83.6)"
"Liver cirrhosis","","1969 (18.2)","8857 (81.8)"
"Congenital heart disease","","8786 (34.6)","16638 (65.4)"
"COPD","","23069 (19.5)","95350 (80.5)"
"Dementia","","6003 (25.7)","17370 (74.3)"
"Diabetes Type 1","","17360 (25.2)","51531 (74.8)"
"Diabetes Type 2","","63415 (28.5)","158914 (71.5)"
"Epilepsy","","936 (23.8)","2999 (76.2)"
"Hip, wrist, spine, humerus fracture","","442 (22.9)","1486 (77.1)"
"HIV/AIDS","","2400 (12.8)","16397 (87.2)"
"Severe combine immunodeficiency","","1773 (18.3)","7935 (81.7)"
"Neurological conditions","","1546 (21.5)","5652 (78.5)"
"Parkinson’s","","4054 (16.9)","19996 (83.1)"
"Pulmonary hypertension","","2309 (19.4)","9591 (80.6)"
"Cystic fibrosis, bronchiectasis or alveolitis","","13690 (15.4)","75259 (84.6)"
"Peripheral vascular disease","","919 (16.9)","4524 (83.1)"
"SLE or rheumatoid arthritis","","5089 (26.5)","14136 (73.5)"
"Lung, oral cancer","","158 (52.0)","146 (48.0)"
"Severe mental illness","","21104 (18.3)","94525 (81.7)"
"Sickle cell disease or combined immune deficiency syndrome","","8197 (19.6)","33631 (80.4)"
"Stroke, transient ischaemic attack","","3978 (17.6)","18612 (82.4)"
"Venous thromboembolism","","50563 (19.1)","214183 (80.9)"
