"label","levels","0","1","2","3","4","5"
"Total","","895872 (20.4)","146753 (3.3)","576062 (13.1)","2688752 (61.2)","72405 (1.6)","12312 (0.3)"
"Sex","F","273561 (47.0)","67150 (45.8)","270159 (46.9)","1405791 (52.3)","42020 (58.0)","7009 (56.9)"
"","M","308955 (53.0)","79603 (54.2)","305903 (53.1)","1282961 (47.7)","30385 (42.0)","5303 (43.1)"
"Age","Mean (SD)","24.8 (19.1)","31.9 (14.5)","35.1 (14.7)","49.8 (15.1)","58.8 (12.5)","58.8 (11.7)"
"Socioeconomic status","1","170719 (29.3)","47470 (32.3)","149388 (25.9)","458275 (17.0)","13655 (18.9)","1682 (13.7)"
"","2","125648 (21.6)","34134 (23.3)","125677 (21.8)","504935 (18.8)","14444 (19.9)","2374 (19.3)"
"","3","103437 (17.8)","25191 (17.2)","107009 (18.6)","537765 (20.0)","14795 (20.4)","2615 (21.2)"
"","4","86109 (14.8)","21210 (14.5)","100812 (17.5)","581296 (21.6)","14740 (20.4)","2754 (22.4)"
"","5","86016 (14.8)","17183 (11.7)","88265 (15.3)","589683 (21.9)","14302 (19.8)","2829 (23.0)"
"","(Missing)","10586 (1.8)","1565 (1.1)","4911 (0.9)","16798 (0.6)","469 (0.6)","58 (0.5)"
"Urban rural classification","Large Urban Areas","267236 (45.9)","54599 (37.2)","210207 (36.5)","882636 (32.8)","22967 (31.7)","2757 (22.4)"
"","Other Urban Areas","179800 (30.9)","55055 (37.5)","212948 (37.0)","999871 (37.2)","28106 (38.8)","5799 (47.1)"
"","Accessible Small Towns","41493 (7.1)","12032 (8.2)","48590 (8.4)","261902 (9.7)","7278 (10.1)","1394 (11.3)"
"","Remote Small Towns","21613 (3.7)","6275 (4.3)","25546 (4.4)","131665 (4.9)","3298 (4.6)","544 (4.4)"
"","Accessible Rural","40358 (6.9)","11595 (7.9)","49074 (8.5)","255520 (9.5)","6934 (9.6)","1348 (10.9)"
"","Remote Rural","21430 (3.7)","5632 (3.8)","24786 (4.3)","140360 (5.2)","3353 (4.6)","412 (3.3)"
"","(Missing)","10586 (1.8)","1565 (1.1)","4911 (0.9)","16798 (0.6)","469 (0.6)","58 (0.5)"
"Number of risk groups","0","460405 (79.0)","108206 (73.7)","408984 (71.0)","1566975 (58.3)","16975 (23.4)","2370 (19.2)"
"","1","99866 (17.1)","31376 (21.4)","134718 (23.4)","810072 (30.1)","27278 (37.7)","4777 (38.8)"
"","2","18286 (3.1)","5759 (3.9)","25949 (4.5)","232620 (8.7)","17575 (24.3)","3207 (26.0)"
"","3-4","3701 (0.6)","1344 (0.9)","5974 (1.0)","73722 (2.7)","9520 (13.1)","1796 (14.6)"
"","5+","258 (0.0)","68 (0.0)","437 (0.1)","5363 (0.2)","1057 (1.5)","162 (1.3)"
