"label","levels","AZ","AZ_AZ","AZ_AZ_AZ","AZ_AZ_AZ_AZ","AZ_AZ_AZ_AZ_AZ","AZ_AZ_Mo","AZ_AZ_Mo_Mo","AZ_AZ_Mo_Mo_Mo","AZ_AZ_Mo_PB","AZ_AZ_PB","AZ_AZ_PB_Mo","AZ_AZ_PB_Mo_Mo","AZ_AZ_PB_PB","AZ_AZ_PB_PB_Mo","AZ_AZ_PB_PB_PB","AZ_Mo","AZ_Mo_Mo","AZ_Mo_Mo_Mo","AZ_PB","AZ_PB_PB","AZ_PB_PB_PB","Mo","Mo_Mo","Mo_Mo_Mo","Mo_Mo_Mo_Mo","Mo_Mo_Mo_Mo_Mo","Mo_Mo_PB","Mo_PB","PB","PB_AZ","PB_Mo","PB_Mo_Mo","PB_PB","PB_PB_Mo","PB_PB_Mo_Mo","PB_PB_Mo_PB","PB_PB_PB","PB_PB_PB_Mo","PB_PB_PB_Mo_Mo","PB_PB_PB_PB","PB_PB_PB_PB_Mo","PB_PB_PB_PB_PB","uv","v2_mixed","v3_mixed","v4_mixed","v5_mixed"
"Total","","35767 (0.6)","171786 (3.0)","5418 (0.1)","471 (0.0)","56 (0.0)","409191 (7.1)","62793 (1.1)","2109 (0.0)","9810 (0.2)","1029329 (17.7)","77158 (1.3)","3648 (0.1)","207853 (3.6)","3939 (0.1)","8405 (0.1)","1280 (0.0)","76 (0.0)","2 (0.0)","5350 (0.1)","2667 (0.0)","8 (0.0)","20370 (0.4)","50601 (0.9)","80279 (1.4)","171 (0.0)","7 (0.0)","34460 (0.6)","3236 (0.1)","171383 (3.0)","4 (0.0)","2628 (0.0)","22 (0.0)","464347 (8.0)","351812 (6.1)","14630 (0.3)","1793 (0.0)","911551 (15.7)","27587 (0.5)","1581 (0.0)","98796 (1.7)","1484 (0.0)","4734 (0.1)","1513693 (26.1)","404 (0.0)","3849 (0.1)","2803 (0.0)","2983 (0.1)"
"Age","Mean (SD)","56.5 (17.8)","54.3 (16.6)","57.8 (13.2)","72.8 (14.2)","59.6 (13.6)","55.0 (11.8)","79.2 (11.2)","64.3 (14.4)","78.6 (12.7)","57.5 (12.2)","79.7 (11.4)","65.6 (14.7)","80.7 (10.6)","65.9 (14.8)","67.3 (14.4)","49.8 (14.1)","81.9 (10.8)","76.5 (13.4)","50.8 (14.3)","57.2 (18.0)","71.9 (13.1)","33.9 (12.1)","31.8 (8.8)","32.9 (9.2)","42.4 (15.4)","44.9 (10.7)","32.6 (9.5)","29.9 (9.1)","22.6 (15.6)","34.8 (15.5)","32.9 (14.9)","62.0 (23.0)","26.7 (15.4)","44.3 (17.1)","73.4 (9.5)","70.7 (13.5)","46.4 (18.0)","74.8 (11.8)","62.7 (13.5)","77.9 (11.2)","62.4 (13.7)","63.5 (14.2)","24.1 (19.1)","61.0 (21.6)","43.8 (19.2)","71.9 (17.0)","64.7 (15.1)"
"Age group","5-15","12 (0.0)","6 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","8 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","14 (0.0)","0 (0.0)","0 (0.0)","1 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","11 (0.0)","0 (0.0)","0 (0.0)","36 (0.0)","8 (0.0)","2 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)","34 (0.0)","68973 (12.0)","0 (0.0)","86 (0.0)","0 (0.0)","108274 (18.8)","12 (0.0)","1 (0.0)","0 (0.0)","1023 (0.2)","0 (0.0)","0 (0.0)","54 (0.0)","0 (0.0)","2 (0.0)","398240 (69.0)","3 (0.0)","3 (0.0)","1 (0.0)","0 (0.0)"
NA,"16-75","29320 (0.7)","149718 (3.6)","5121 (0.1)","168 (0.0)","49 (0.0)","398929 (9.5)","9636 (0.2)","1573 (0.0)","1869 (0.0)","985185 (23.5)","11926 (0.3)","2591 (0.1)","27585 (0.7)","2733 (0.1)","5643 (0.1)","1230 (0.0)","13 (0.0)","1 (0.0)","5023 (0.1)","2145 (0.1)","4 (0.0)","20154 (0.5)","50439 (1.2)","80234 (1.9)","162 (0.0)","7 (0.0)","34451 (0.8)","3187 (0.1)","99121 (2.4)","4 (0.0)","2456 (0.1)","10 (0.0)","347125 (8.3)","346166 (8.3)","4249 (0.1)","712 (0.0)","886101 (21.2)","6882 (0.2)","1299 (0.0)","17847 (0.4)","1184 (0.0)","3687 (0.1)","634700 (15.2)","275 (0.0)","3662 (0.1)","1209 (0.0)","2159 (0.1)"
NA,"75+","6434 (1.0)","22061 (3.4)","297 (0.0)","303 (0.0)","7 (0.0)","10253 (1.6)","53157 (8.3)","536 (0.1)","7941 (1.2)","44129 (6.9)","65232 (10.2)","1057 (0.2)","180267 (28.1)","1206 (0.2)","2762 (0.4)","50 (0.0)","63 (0.0)","1 (0.0)","316 (0.0)","522 (0.1)","4 (0.0)","180 (0.0)","154 (0.0)","43 (0.0)","9 (0.0)","0 (0.0)","9 (0.0)","15 (0.0)","3289 (0.5)","0 (0.0)","86 (0.0)","12 (0.0)","8947 (1.4)","5634 (0.9)","10380 (1.6)","1081 (0.2)","24425 (3.8)","20705 (3.2)","282 (0.0)","80895 (12.6)","300 (0.0)","1045 (0.2)","85606 (13.3)","126 (0.0)","184 (0.0)","1593 (0.2)","824 (0.1)"
"Urban rural classification","Large Urban Areas","13100 (0.7)","61361 (3.3)","1177 (0.1)","108 (0.0)","11 (0.0)","243879 (13.0)","38846 (2.1)","1176 (0.1)","6946 (0.4)","178498 (9.5)","24357 (1.3)","1530 (0.1)","41434 (2.2)","1242 (0.1)","1385 (0.1)","880 (0.0)","48 (0.0)","1 (0.0)","1644 (0.1)","717 (0.0)","1 (0.0)","13616 (0.7)","34409 (1.8)","53883 (2.9)","113 (0.0)","5 (0.0)","23524 (1.3)","2184 (0.1)","57199 (3.0)","0 (0.0)","1805 (0.1)","15 (0.0)","144900 (7.7)","204508 (10.9)","9032 (0.5)","1223 (0.1)","211720 (11.3)","6607 (0.4)","827 (0.0)","12323 (0.7)","309 (0.0)","385 (0.0)","475354 (25.3)","126 (0.0)","1979 (0.1)","1203 (0.1)","1707 (0.1)"
NA,"Other Urban Areas","13876 (0.7)","65959 (3.4)","2685 (0.1)","220 (0.0)","26 (0.0)","98193 (5.0)","13970 (0.7)","656 (0.0)","1458 (0.1)","456348 (23.3)","32704 (1.7)","1135 (0.1)","78535 (4.0)","1716 (0.1)","3681 (0.2)","236 (0.0)","18 (0.0)","0 (0.0)","1947 (0.1)","1013 (0.1)","2 (0.0)","3968 (0.2)","9330 (0.5)","13698 (0.7)","31 (0.0)","1 (0.0)","4671 (0.2)","623 (0.0)","63437 (3.2)","4 (0.0)","452 (0.0)","4 (0.0)","181344 (9.2)","84369 (4.3)","3264 (0.2)","364 (0.0)","395244 (20.1)","15598 (0.8)","513 (0.0)","40998 (2.1)","959 (0.0)","2661 (0.1)","362770 (18.5)","159 (0.0)","1113 (0.1)","891 (0.0)","738 (0.0)"
NA,"Accessible Small Towns","3063 (0.6)","14198 (2.8)","589 (0.1)","56 (0.0)","7 (0.0)","22595 (4.5)","3717 (0.7)","117 (0.0)","629 (0.1)","123537 (24.5)","9301 (1.8)","342 (0.1)","25834 (5.1)","468 (0.1)","1054 (0.2)","67 (0.0)","4 (0.0)","0 (0.0)","569 (0.1)","299 (0.1)","1 (0.0)","945 (0.2)","2455 (0.5)","5007 (1.0)","9 (0.0)","0 (0.0)","2354 (0.5)","166 (0.0)","16075 (3.2)","0 (0.0)","125 (0.0)","1 (0.0)","44258 (8.8)","25543 (5.1)","1054 (0.2)","73 (0.0)","96560 (19.2)","1630 (0.3)","77 (0.0)","12067 (2.4)","107 (0.0)","624 (0.1)","87102 (17.3)","40 (0.0)","291 (0.1)","283 (0.1)","220 (0.0)"
NA,"Remote Small Towns","1488 (0.6)","8023 (3.1)","252 (0.1)","15 (0.0)","3 (0.0)","7618 (2.9)","746 (0.3)","15 (0.0)","71 (0.0)","71855 (27.6)","3083 (1.2)","168 (0.1)","17021 (6.5)","82 (0.0)","589 (0.2)","15 (0.0)","1 (0.0)","0 (0.0)","303 (0.1)","159 (0.1)","1 (0.0)","280 (0.1)","554 (0.2)","1196 (0.5)","4 (0.0)","0 (0.0)","222 (0.1)","42 (0.0)","8255 (3.2)","0 (0.0)","49 (0.0)","0 (0.0)","23109 (8.9)","8223 (3.2)","234 (0.1)","16 (0.0)","50512 (19.4)","1103 (0.4)","20 (0.0)","8781 (3.4)","18 (0.0)","300 (0.1)","45356 (17.4)","22 (0.0)","111 (0.0)","102 (0.0)","51 (0.0)"
NA,"Accessible Rural","2766 (0.6)","14021 (2.9)","453 (0.1)","42 (0.0)","7 (0.0)","32816 (6.7)","5211 (1.1)","130 (0.0)","615 (0.1)","114853 (23.4)","6226 (1.3)","417 (0.1)","26156 (5.3)","344 (0.1)","1104 (0.2)","60 (0.0)","5 (0.0)","0 (0.0)","548 (0.1)","293 (0.1)","1 (0.0)","993 (0.2)","3059 (0.6)","5312 (1.1)","12 (0.0)","1 (0.0)","3230 (0.7)","149 (0.0)","15647 (3.2)","0 (0.0)","108 (0.0)","2 (0.0)","43670 (8.9)","23264 (4.7)","972 (0.2)","96 (0.0)","88916 (18.1)","2256 (0.5)","127 (0.0)","11127 (2.3)","76 (0.0)","420 (0.1)","84830 (17.3)","38 (0.0)","245 (0.0)","218 (0.0)","208 (0.0)"
