"label","levels","0","1","2","3","4"
"Total","","477768 (75.2)","100094 (15.8)","55784 (8.8)","1270 (0.2)","41 (0.0)"
"Sex","F","218069 (48.6)","49304 (49.3)","27336 (49.0)","602 (47.4)","16 (39.0)"
"","M","230264 (51.4)","50790 (50.7)","28448 (51.0)","668 (52.6)","25 (61.0)"
"Age","Mean (SD)","8.8 (3.4)","11.4 (2.4)","14.2 (1.4)","14.1 (1.7)","14.1 (1.9)"
"Socioeconomic status","1","112436 (25.1)","17498 (17.5)","8598 (15.4)","141 (11.1)","1 (2.4)"
"","2","92326 (20.6)","17674 (17.7)","9424 (16.9)","208 (16.4)","6 (14.6)"
"","3","78723 (17.6)","17955 (17.9)","10133 (18.2)","267 (21.0)","11 (26.8)"
"","4","85107 (19.0)","21504 (21.5)","12738 (22.8)","330 (26.0)","14 (34.1)"
"","5","75705 (16.9)","24803 (24.8)","14547 (26.1)","318 (25.0)","9 (22.0)"
"","(Missing)","4036 (0.9)","660 (0.7)","344 (0.6)","6 (0.5)","0 (0.0)"
"Urban rural classification","Large Urban Areas","151813 (33.9)","32699 (32.7)","16315 (29.2)","318 (25.0)","13 (31.7)"
"","Other Urban Areas","168976 (37.7)","38925 (38.9)","21845 (39.2)","486 (38.3)","16 (39.0)"
"","Accessible Small Towns","41063 (9.2)","10365 (10.4)","6002 (10.8)","139 (10.9)","5 (12.2)"
"","Remote Small Towns","20631 (4.6)","4295 (4.3)","2742 (4.9)","80 (6.3)","3 (7.3)"
"","Accessible Rural","40715 (9.1)","9666 (9.7)","5667 (10.2)","147 (11.6)","4 (9.8)"
"","Remote Rural","21099 (4.7)","3484 (3.5)","2869 (5.1)","94 (7.4)","0 (0.0)"
"","(Missing)","4036 (0.9)","660 (0.7)","344 (0.6)","6 (0.5)","0 (0.0)"
"Number of risk groups","0","416899 (93.0)","90431 (90.3)","46678 (83.7)","861 (67.8)","21 (51.2)"
"","1","30045 (6.7)","9203 (9.2)","8405 (15.1)","338 (26.6)","13 (31.7)"
"","2","1333 (0.3)","434 (0.4)","650 (1.2)","64 (5.0)","5 (12.2)"
"","3-4","55 (0.0)","25 (0.0)","51 (0.1)","7 (0.6)","2 (4.9)"
"","5+","0 (0.0)","1 (0.0)","0 (0.0)","0 (0.0)","0 (0.0)"
"Average household age","Mean (SD)","17.8 (8.2)","21.8 (7.3)","24.0 (7.2)","24.3 (7.7)","22.4 (8.9)"
"Number of people in household","1","35702 (8.0)","6411 (6.4)","3674 (6.6)","95 (7.5)","7 (17.1)"
"","2","59705 (13.3)","10598 (10.6)","6082 (10.9)","141 (11.1)","10 (24.4)"
"","3-5","307928 (68.7)","73825 (73.8)","41315 (74.1)","916 (72.1)","23 (56.1)"
"","6-10","43360 (9.7)","8977 (9.0)","4571 (8.2)","110 (8.7)","1 (2.4)"
"","11-30","1421 (0.3)","252 (0.3)","99 (0.2)","1 (0.1)","0 (0.0)"
"","31-100","56 (0.0)","11 (0.0)","19 (0.0)","1 (0.1)","0 (0.0)"
"","101+","161 (0.0)","20 (0.0)","24 (0.0)","6 (0.5)","0 (0.0)"
"BMI","10-18.5","8723 (1.9)","2572 (2.6)","1585 (2.8)","45 (3.5)","3 (7.3)"
"","18.5-25","2661 (0.6)","917 (0.9)","1065 (1.9)","52 (4.1)","2 (4.9)"
"","25-30","606 (0.1)","222 (0.2)","280 (0.5)","23 (1.8)","2 (4.9)"
"","30-35","191 (0.0)","65 (0.1)","88 (0.2)","2 (0.2)","1 (2.4)"
"","35-40","88 (0.0)","19 (0.0)","35 (0.1)","4 (0.3)","0 (0.0)"
"","40+","73 (0.0)","19 (0.0)","27 (0.0)","4 (0.3)","0 (0.0)"
"","(Missing)","435990 (97.2)","96280 (96.2)","52704 (94.5)","1140 (89.8)","33 (80.5)"
"Smoking status","Non-smoker","13996 (3.1)","4595 (4.6)","3771 (6.8)","114 (9.0)","4 (9.8)"
"","Ex-smoker","258 (0.1)","47 (0.0)","33 (0.1)","0 (0.0)","0 (0.0)"
"","Smoker","112 (0.0)","40 (0.0)","17 (0.0)","0 (0.0)","0 (0.0)"
"","(Missing)","433966 (96.8)","95412 (95.3)","51963 (93.2)","1156 (91.0)","37 (90.2)"
"Blood pressure","Normal","5275 (1.2)","1838 (1.8)","2075 (3.7)","84 (6.6)","4 (9.8)"
"","Low","1190 (0.3)","385 (0.4)","421 (0.8)","12 (0.9)","1 (2.4)"
