"label","levels","0","1","2","3","4","5"
"Total","","116042 (16.0)","9931 (1.4)","33262 (4.6)","154119 (21.2)","407905 (56.1)","5935 (0.8)"
"Sex","F","57471 (54.7)","5548 (55.9)","18888 (56.8)","85775 (55.7)","232979 (57.1)","3046 (51.3)"
"","M","47537 (45.3)","4383 (44.1)","14374 (43.2)","68344 (44.3)","174926 (42.9)","2889 (48.7)"
"Age","Mean (SD)","78.7 (23.7)","86.1 (7.1)","85.2 (6.9)","79.7 (6.1)","82.9 (5.3)","81.0 (4.7)"
"Socioeconomic status","1","21240 (20.2)","2161 (21.8)","7092 (21.3)","27147 (17.6)","57412 (14.1)","712 (12.0)"
"","2","21788 (20.7)","2089 (21.0)","7273 (21.9)","30875 (20.0)","77136 (18.9)","1101 (18.6)"
"","3","21951 (20.9)","2021 (20.4)","7015 (21.1)","33273 (21.6)","87420 (21.4)","1191 (20.1)"
"","4","20068 (19.1)","1845 (18.6)","6187 (18.6)","31771 (20.6)","90327 (22.1)","1353 (22.8)"
"","5","17668 (16.8)","1696 (17.1)","5371 (16.1)","30222 (19.6)","93815 (23.0)","1562 (26.3)"
"","(Missing)","2292 (2.2)","119 (1.2)","324 (1.0)","831 (0.5)","1795 (0.4)","16 (0.3)"
"Urban rural classification","Large Urban Areas","32148 (30.6)","3012 (30.3)","10404 (31.3)","44884 (29.1)","111457 (27.3)","1684 (28.4)"
"","Other Urban Areas","38385 (36.6)","3673 (37.0)","12307 (37.0)","56485 (36.7)","153334 (37.6)","2431 (41.0)"
"","Accessible Small Towns","9803 (9.3)","997 (10.0)","3211 (9.7)","15876 (10.3)","45286 (11.1)","680 (11.5)"
"","Remote Small Towns","6590 (6.3)","613 (6.2)","2067 (6.2)","10328 (6.7)","25920 (6.4)","281 (4.7)"
"","Accessible Rural","9930 (9.5)","947 (9.5)","3018 (9.1)","15521 (10.1)","43569 (10.7)","600 (10.1)"
"","Remote Rural","5860 (5.6)","570 (5.7)","1931 (5.8)","10194 (6.6)","26544 (6.5)","243 (4.1)"
"","(Missing)","2292 (2.2)","119 (1.2)","324 (1.0)","831 (0.5)","1795 (0.4)","16 (0.3)"
"Number of risk groups","0","98063 (93.4)","8694 (87.5)","24292 (73.0)","41984 (27.2)","92613 (22.7)","654 (11.0)"
"","1","3106 (3.0)","456 (4.6)","3166 (9.5)","45225 (29.3)","122657 (30.1)","1498 (25.2)"
"","2","1999 (1.9)","353 (3.6)","2578 (7.8)","32892 (21.3)","96421 (23.6)","1609 (27.1)"
